year,ggm_m,ggm_m_stderr,ggm_fit_age_start,ggm_fit_age_end,ci_method,ggm_m_ci_low,ggm_m_ci_high
1832,0.006350046964842104,0.00020051912972746306,20,100,lognormal delta-method from GGM curve_fit covariance,0.005968951507945661,0.0067554739558570226
1833,0.006423721941439626,0.0002591862803176289,20,100,lognormal delta-method from GGM curve_fit covariance,0.005935293447177874,0.006952344302462968
1834,0.009302715086534151,0.0005057043790876112,20,100,lognormal delta-method from GGM curve_fit covariance,0.008362528293566353,0.010348605701915457
1835,0.005948630199155307,0.00018190069437469593,20,100,lognormal delta-method from GGM curve_fit covariance,0.005602584723707309,0.00631604928642417
1836,0.005680768926505109,0.00019928500903489734,20,100,lognormal delta-method from GGM curve_fit covariance,0.0053033028579535,0.006085101390720719
1837,0.006292930974580543,0.00032606286528993135,20,100,lognormal delta-method from GGM curve_fit covariance,0.005685238445766037,0.006965579478962265
1838,0.006868304697908315,0.0003051506407455149,20,100,lognormal delta-method from GGM curve_fit covariance,0.006295521005752024,0.0074932018144659275
1839,0.008040881360414654,0.00031404899860072374,20,100,lognormal delta-method from GGM curve_fit covariance,0.007448325848372787,0.00868057794039569
1840,0.006261942948214012,0.00024304677537198698,20,100,lognormal delta-method from GGM curve_fit covariance,0.005803248279886026,0.006756893311388239
1841,0.0059129195034401975,0.00022950622456313302,20,100,lognormal delta-method from GGM curve_fit covariance,0.005479779938124016,0.006380295823728427
1842,0.006757718455315803,0.0001831582563474402,20,100,lognormal delta-method from GGM curve_fit covariance,0.006408103214005824,0.007126408111140373
1843,0.00632115475836602,0.00020084185153266247,20,100,lognormal delta-method from GGM curve_fit covariance,0.0059395182791469586,0.006727312822573223
1844,0.005602633963296014,0.00019125086902276807,20,100,lognormal delta-method from GGM curve_fit covariance,0.0052400536270218725,0.00599030268789785
1845,0.005361079476553122,0.00019647374568953707,20,100,lognormal delta-method from GGM curve_fit covariance,0.004989502766005057,0.005760328133244282
1846,0.006426676900436088,0.00021413348528818323,20,100,lognormal delta-method from GGM curve_fit covariance,0.00602039352330599,0.006860378116930545
1847,0.005551573277399125,0.00022234648698221709,20,100,lognormal delta-method from GGM curve_fit covariance,0.005132447768162449,0.006004925378006607
1848,0.0048458020821929605,0.00025460485307058646,20,100,lognormal delta-method from GGM curve_fit covariance,0.004371620127799607,0.005371417720048987
1849,0.005404402672721553,0.0002014909564421383,20,100,lognormal delta-method from GGM curve_fit covariance,0.0050235713116655294,0.005814104436239465
1850,0.006282969764429212,0.0002202066717868438,20,100,lognormal delta-method from GGM curve_fit covariance,0.005865862824522372,0.006729736143113094
1851,0.00598712890178607,0.00021109655704378743,20,100,lognormal delta-method from GGM curve_fit covariance,0.005587359405018361,0.00641550147184138
1852,0.006424496588275116,0.00020953698998548123,20,100,lognormal delta-method from GGM curve_fit covariance,0.006026662831225477,0.0068485922588713685
1853,0.005740381906896318,0.0003850389862602844,20,100,lognormal delta-method from GGM curve_fit covariance,0.005033221207707702,0.006546897717620889
1854,0.005759636828976329,0.0001989801728555662,20,100,lognormal delta-method from GGM curve_fit covariance,0.00538255337210422,0.006163137475538288
1855,0.005956466514111201,0.00019221791622269703,20,100,lognormal delta-method from GGM curve_fit covariance,0.005591393265138331,0.006345376125649836
1856,0.005735314872820151,0.00014231628245723197,20,100,lognormal delta-method from GGM curve_fit covariance,0.005463054388946097,0.006021143914830716
1857,0.008459908706649017,0.0001873583095874814,20,100,lognormal delta-method from GGM curve_fit covariance,0.008100548876357954,0.008835210603286193
1858,0.006980873002861047,0.00012445037563247902,20,100,lognormal delta-method from GGM curve_fit covariance,0.006741166913602664,0.0072291026919596305
1859,0.00652682064310715,0.00015855629506083768,20,100,lognormal delta-method from GGM curve_fit covariance,0.006223338272581417,0.006845102393834615
1860,0.005110220517889856,0.0001282102322292195,20,100,lognormal delta-method from GGM curve_fit covariance,0.0048650113844767,0.00536778882466509
1861,0.004692189505121228,0.0001522540818394573,20,100,lognormal delta-method from GGM curve_fit covariance,0.004403068159692558,0.005000295601489643
1862,0.0055715167628766805,0.00010177802615376528,20,100,lognormal delta-method from GGM curve_fit covariance,0.005375564346459085,0.005774612122253407
1863,0.0052063583350447145,0.00011655965816133494,20,100,lognormal delta-method from GGM curve_fit covariance,0.004982845292212066,0.0054398973926112325
1864,0.005536182465570686,0.0001215273938075425,20,100,lognormal delta-method from GGM curve_fit covariance,0.005303044391346182,0.005779570003620499
1865,0.005841487531131903,0.0001268144774894908,20,100,lognormal delta-method from GGM curve_fit covariance,0.005598149380637789,0.006095403008428101
1866,0.006978272290714003,0.00016103354787432662,20,100,lognormal delta-method from GGM curve_fit covariance,0.00666968351412206,0.007301138661263274
1867,0.005811658981079527,0.00012791950289464955,20,100,lognormal delta-method from GGM curve_fit covariance,0.005566272461856456,0.006067863250283225
1868,0.0062234982229036374,0.00011587456426204064,20,100,lognormal delta-method from GGM curve_fit covariance,0.006000482186490937,0.006454802951949941
1869,0.0062060203785241986,0.00013238144284502732,20,100,lognormal delta-method from GGM curve_fit covariance,0.0059519065589043576,0.006470983466808242
1870,0.005732815812893916,0.00015706206782527946,20,100,lognormal delta-method from GGM curve_fit covariance,0.005433098807596555,0.006049066712833284
1871,0.0057134824911626685,0.00013016889572329925,20,100,lognormal delta-method from GGM curve_fit covariance,0.005463968425743438,0.005974390705301483
1872,0.005822511659261621,0.00010036053585268233,20,100,lognormal delta-method from GGM curve_fit covariance,0.005629094149397785,0.006022575057811815
1873,0.00649870121019413,0.0001102959897903754,20,100,lognormal delta-method from GGM curve_fit covariance,0.006286081002491488,0.006718513077168361
1874,0.008287169758656716,0.00014231598499935065,20,100,lognormal delta-method from GGM curve_fit covariance,0.008012877588390789,0.008570851339136298
1875,0.00727532093298832,0.00013602626249544986,20,100,lognormal delta-method from GGM curve_fit covariance,0.007013540173771515,0.0075468726729364275
1876,0.006675134591684326,0.0001204488923363176,20,100,lognormal delta-method from GGM curve_fit covariance,0.006443184889929168,0.006915434304352317
1877,0.006100368086740486,0.0001030678846494755,20,100,lognormal delta-method from GGM curve_fit covariance,0.005901666827094453,0.006305759353081521
1878,0.0059505464441039916,9.748433908040066e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005762515542259799,0.006144712794918181
1879,0.005681454897158127,0.00010224797877972139,20,100,lognormal delta-method from GGM curve_fit covariance,0.005484545751883855,0.005885433581688103
1880,0.006197256434958935,9.10191002288845e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006021405441850974,0.006378243035040334
1881,0.006123592929786331,0.00010762680979360304,20,100,lognormal delta-method from GGM curve_fit covariance,0.005916240192117859,0.0063382129785210265
1882,0.005953335665427382,8.066395953101681e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005797318003342274,0.006113552081292854
1883,0.005934624146382907,7.509087015419882e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005789258686922847,0.006083639661566296
1884,0.006022408373795487,8.362199490185543e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005860722346707562,0.006188555006557755
1885,0.005998647056381358,0.00010229620808222461,20,100,lognormal delta-method from GGM curve_fit covariance,0.00580146382427919,0.006202532256848741
1886,0.005837250442213138,8.504580076475805e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005672921169848368,0.006006339891733104
1887,0.0059945287541180985,7.936607953945515e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005840975029606584,0.006152119261220163
1888,0.005762274256929661,7.577896315897761e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005615647999969498,0.00591272896952491
1889,0.005818253195224977,8.442953493097751e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005655105414795176,0.005986107731109687
1890,0.006037879058802867,8.300135146496671e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005877371402292374,0.006202770087748944
1891,0.0060578630964585965,7.340916301006659e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005915678960703479,0.006203464646950842
1892,0.00631708779064451,6.61586395571293e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006188741010026569,0.006448096323639597
1893,0.0061664742496072905,9.065561465754993e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005991327973626799,0.006346740628864529
1894,0.006280603373445045,7.7403356405515e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006130713167254946,0.006434158255065027
1895,0.0058725926378339925,7.363218975804225e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005730035018174141,0.006018696950464939
1896,0.005814021146785829,7.388896680071907e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0056709901858556,0.0059606595651642575
1897,0.005895865508416021,6.703088905734681e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005765940323601895,0.00602871832561994
1898,0.0059403849979859065,7.812220686071396e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005789224774252186,0.006095492108242474
1899,0.006493528852991555,7.829096856435983e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006341880222673212,0.006648803743388922
1900,0.006526236275304352,8.051449245966576e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006370323366732189,0.006685965133815004
1901,0.00622293895517115,7.848309269698587e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006071000529784314,0.006378679930894753
1902,0.005894995582516475,7.101753596153779e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005757434200872862,0.006035843694508971
1903,0.005796063334080755,7.70735991792026e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005646953404963695,0.00594911056697329
1904,0.005934165811246728,6.401817602271813e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005810009709563852,0.006060975047494889
1905,0.006094206644482613,7.248448123204538e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005953782797949485,0.00623794247893071
1906,0.005763404685730344,7.083253881456792e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005626234178792391,0.005903919480761482
1907,0.005840662757660486,6.573724667705495e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0057132308373927425,0.0059709370091354415
1908,0.005639305722967348,6.75987742281589e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0055083588317430725,0.0057733655356343025
1909,0.005404743680007444,6.728732080796263e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005274458952584107,0.005538246578309037
1910,0.005514384493654218,7.377232938012807e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005371672565882462,0.005660887921015448
1911,0.005428668440181304,5.9598844995038094e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0053131046337244895,0.005546745841660889
1912,0.0054323825811795875,6.376481153669395e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005308832485572552,0.005558808003172601
1913,0.005320884878624145,6.577729002108731e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005193513053067345,0.0054513805207151295
1914,0.005566281469985521,6.0153995401708316e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005449621655385531,0.005685438616180825
1915,0.005985295948397491,7.594102013743718e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005838289726832877,0.006136003738433326
