panel,param,value,scenario_id,n_sim,seed_method,max_lifespan
heterogeneity,epsilon,0.0,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3
heterogeneity,epsilon,0.0,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4
heterogeneity,epsilon,0.0,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3
heterogeneity,epsilon,0.01,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4
heterogeneity,epsilon,0.01,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4
heterogeneity,epsilon,0.01,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.1
heterogeneity,epsilon,0.02,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3000100000063
heterogeneity,epsilon,0.02,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3
heterogeneity,epsilon,0.02,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.1
heterogeneity,epsilon,0.03,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.2
heterogeneity,epsilon,0.03,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,epsilon,0.03,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3
heterogeneity,epsilon,0.04,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.5
heterogeneity,epsilon,0.04,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4
heterogeneity,epsilon,0.04,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.5
heterogeneity,epsilon,0.05,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4
heterogeneity,epsilon,0.05,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,epsilon,0.05,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.2
heterogeneity,epsilon,0.06,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.2
heterogeneity,epsilon,0.06,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4
heterogeneity,epsilon,0.06,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3
heterogeneity,epsilon,0.07,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,epsilon,0.07,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7
heterogeneity,epsilon,0.07,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.4000100000063
heterogeneity,epsilon,0.08,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7
heterogeneity,epsilon,0.08,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,epsilon,0.08,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,epsilon,0.09,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.8
heterogeneity,epsilon,0.09,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7
heterogeneity,epsilon,0.09,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.3000100000063
heterogeneity,epsilon,0.1,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6000100000063
heterogeneity,epsilon,0.1,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7
heterogeneity,epsilon,0.1,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,epsilon,0.11,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7
heterogeneity,epsilon,0.11,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.7000100000063
heterogeneity,epsilon,0.11,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.8
heterogeneity,epsilon,0.12,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.0
heterogeneity,epsilon,0.12,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.1
heterogeneity,epsilon,0.12,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9
heterogeneity,epsilon,0.13,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.8
heterogeneity,epsilon,0.13,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9000100000063
heterogeneity,epsilon,0.13,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.1
heterogeneity,epsilon,0.14,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9
heterogeneity,epsilon,0.14,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9
heterogeneity,epsilon,0.14,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.6
heterogeneity,epsilon,0.15,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.0
heterogeneity,epsilon,0.15,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.0000100000063
heterogeneity,epsilon,0.15,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,106.9
heterogeneity,epsilon,0.16,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.1
heterogeneity,epsilon,0.16,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.2
heterogeneity,epsilon,0.16,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.2
heterogeneity,epsilon,0.17,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.2
heterogeneity,epsilon,0.17,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.2
heterogeneity,epsilon,0.17,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.1
heterogeneity,epsilon,0.18,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.3
heterogeneity,epsilon,0.18,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.5
heterogeneity,epsilon,0.18,epsilon_ci_upper,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.5
heterogeneity,epsilon,0.19,central,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.4
heterogeneity,epsilon,0.19,epsilon_ci_lower,1000000,common_random_numbers_for_heterogeneity_ci_scenarios,107.6
