fit_name,fit_params,contains_senogenic,age,survival
eta+Xc,eta+Xc,True,28.25,0.0018
eta+Xc,eta+Xc,True,28.5,0.0012
eta+Xc,eta+Xc,True,28.75,0.001
eta+Xc,eta+Xc,True,29.0,0.0008
eta+Xc,eta+Xc,True,29.25,0.0006
eta+Xc,eta+Xc,True,29.5,0.0006
eta+Xc,eta+Xc,True,29.75,0.0004
eta+Xc,eta+Xc,True,30.0,0.0004
eta+Xc,eta+Xc,True,30.25,0.0004
eta+Xc,eta+Xc,True,30.5,0.0002
eta+Xc,eta+Xc,True,30.75,0.0
eta+Xc,eta+Xc,True,31.0,0.0
eta+Xc,eta+Xc,True,31.25,0.0
eta+Xc,eta+Xc,True,31.5,0.0
eta+Xc,eta+Xc,True,31.75,0.0
eta+Xc,eta+Xc,True,32.0,0.0
eta+Xc,eta+Xc,True,32.25,0.0
eta+Xc,eta+Xc,True,32.5,0.0
eta+Xc,eta+Xc,True,32.75,0.0
eta+Xc,eta+Xc,True,33.0,0.0
eta+Xc,eta+Xc,True,33.25,0.0
eta+Xc,eta+Xc,True,33.5,0.0
eta+Xc,eta+Xc,True,33.75,0.0
eta+Xc,eta+Xc,True,34.0,0.0
eta+Xc,eta+Xc,True,34.25,0.0
eta+Xc,eta+Xc,True,34.5,0.0
eta+Xc,eta+Xc,True,34.75,0.0
eta+Xc,eta+Xc,True,35.0,0.0
eta+epsilon,eta+epsilon,True,0.0,1.0
eta+epsilon,eta+epsilon,True,0.25,0.9998
eta+epsilon,eta+epsilon,True,0.5,0.9994
eta+epsilon,eta+epsilon,True,0.75,0.999
eta+epsilon,eta+epsilon,True,1.0,0.998
eta+epsilon,eta+epsilon,True,1.25,0.9968
eta+epsilon,eta+epsilon,True,1.5,0.9956
eta+epsilon,eta+epsilon,True,1.75,0.994
eta+epsilon,eta+epsilon,True,2.0,0.993
eta+epsilon,eta+epsilon,True,2.25,0.9908
eta+epsilon,eta+epsilon,True,2.5,0.9886
eta+epsilon,eta+epsilon,True,2.75,0.9868
eta+epsilon,eta+epsilon,True,3.0,0.985
eta+epsilon,eta+epsilon,True,3.25,0.9826
eta+epsilon,eta+epsilon,True,3.5,0.98
eta+epsilon,eta+epsilon,True,3.75,0.978
eta+epsilon,eta+epsilon,True,4.0,0.9766
eta+epsilon,eta+epsilon,True,4.25,0.975
eta+epsilon,eta+epsilon,True,4.5,0.9708
eta+epsilon,eta+epsilon,True,4.75,0.9688
eta+epsilon,eta+epsilon,True,5.0,0.9654
eta+epsilon,eta+epsilon,True,5.25,0.9638
eta+epsilon,eta+epsilon,True,5.5,0.9606
eta+epsilon,eta+epsilon,True,5.75,0.958
eta+epsilon,eta+epsilon,True,6.0,0.9538
eta+epsilon,eta+epsilon,True,6.25,0.9502
eta+epsilon,eta+epsilon,True,6.5,0.9464
eta+epsilon,eta+epsilon,True,6.75,0.942
eta+epsilon,eta+epsilon,True,7.0,0.9374
eta+epsilon,eta+epsilon,True,7.25,0.9328
eta+epsilon,eta+epsilon,True,7.5,0.9272
eta+epsilon,eta+epsilon,True,7.75,0.9216
eta+epsilon,eta+epsilon,True,8.0,0.9146
eta+epsilon,eta+epsilon,True,8.25,0.9084
eta+epsilon,eta+epsilon,True,8.5,0.9014
eta+epsilon,eta+epsilon,True,8.75,0.8936
eta+epsilon,eta+epsilon,True,9.0,0.8846
eta+epsilon,eta+epsilon,True,9.25,0.8742
eta+epsilon,eta+epsilon,True,9.5,0.8652
eta+epsilon,eta+epsilon,True,9.75,0.8562
eta+epsilon,eta+epsilon,True,10.0,0.8434
eta+epsilon,eta+epsilon,True,10.25,0.8312
