topic,group,label,x,y,x_err,y_err,n,deaths,curve_set,coordinate,coordinate_class,distance,distance_sq,factor,projected_log_median,projected_log_steepness
income,Q4 (Highest),Q4 income,1.0477157360406093,1.597522193142479,0.005448287457867509,0.1083471090357268,7784,486.0,mean_model_curve,Xc,robustness,0.098562829315568,0.009714631322689793,1.4,0.12113327512120518,0.4039459991709442
income,Q4 (Highest),Q4 income,1.0477157360406093,1.597522193142479,0.005448287457867509,0.1083471090357268,7784,486.0,mean_model_curve,epsilon,robustness,0.05231558034678307,0.0027369199470207144,0.6396958783513405,0.09826528215355075,0.4601538065394528
income,Q4 (Highest),Q4 income,1.0477157360406093,1.597522193142479,0.005448287457867509,0.1083471090357268,7784,486.0,mean_model_curve,h_ext,extrinsic,0.47942874179235095,0.22985191845659675,0.0001,-0.0011665781836224676,-0.00858822873347331
alcohol,>4 drinks/day,>4 drinks/day,0.950253807106599,0.7969035126257249,0.012925193625867868,0.04718436499038651,4963,430.0,mean_model_curve,eta,senogenic,0.22865686330788812,0.05228396113780223,1.033893557422969,-0.030339733129622848,0.0006975262845510574
alcohol,>4 drinks/day,>4 drinks/day,0.950253807106599,0.7969035126257249,0.012925193625867868,0.04718436499038651,4963,430.0,mean_model_curve,beta,senogenic,0.1391647179872534,0.01936681873247177,0.8820328131252501,-0.14041063728701658,-0.12035754933586199
alcohol,>4 drinks/day,>4 drinks/day,0.950253807106599,0.7969035126257249,0.012925193625867868,0.04718436499038651,4963,430.0,mean_model_curve,Xc,robustness,0.03185189810612205,0.0010145434129627817,0.8596238495398159,-0.0803671192493479,-0.21462603444605413
alcohol,>4 drinks/day,>4 drinks/day,0.950253807106599,0.7969035126257249,0.012925193625867868,0.04718436499038651,4963,430.0,mean_model_curve,epsilon,robustness,0.016445212814510758,0.0002704450245145489,1.2063225290116044,-0.06663965708469727,-0.22185796276557054
alcohol,>4 drinks/day,>4 drinks/day,0.950253807106599,0.7969035126257249,0.012925193625867868,0.04718436499038651,4963,430.0,mean_model_curve,h_ext,extrinsic,0.02541935743926768,0.0006461437326252532,0.0022041214537194655,-0.025787617321960905,-0.2300481305632755
alcohol,0-1 drink/day,0-1 drink/day,1.0477157360406093,1.2551960088976621,0.005881879896644863,0.0609195095101623,11241,1738.0,mean_model_curve,eta,senogenic,0.23236979701304164,0.05399572256388217,0.9694677871148458,0.02796192770230883,-0.004328390189349997
alcohol,0-1 drink/day,0-1 drink/day,1.0477157360406093,1.2551960088976621,0.005881879896644863,0.0609195095101623,11241,1738.0,mean_model_curve,beta,senogenic,0.14234880007506598,0.0202631808828111,1.136534613845538,0.1416052977339981,0.1212751771402323
alcohol,0-1 drink/day,0-1 drink/day,1.0477157360406093,1.2551960088976621,0.005881879896644863,0.0609195095101623,11241,1738.0,mean_model_curve,Xc,robustness,0.025114155535497867,0.0006307208082611781,1.1899959983993598,0.07072572432355831,0.2202729244656173
alcohol,0-1 drink/day,0-1 drink/day,1.0477157360406093,1.2551960088976621,0.005881879896644863,0.0609195095101623,11241,1738.0,mean_model_curve,epsilon,robustness,0.00772828853516589,5.972644368277654e-05,0.8119247699079631,0.054190499630648155,0.22577602253787699
alcohol,0-1 drink/day,0-1 drink/day,1.0477157360406093,1.2551960088976621,0.005881879896644863,0.0609195095101623,11241,1738.0,mean_model_curve,h_ext,extrinsic,0.24067027781933528,0.05792218262563603,0.0001,-0.0011665781836224676,-0.00858822873347331
physical_activity,No Activity,No Activity,0.9746192893401016,0.9081521511404274,0.007002692156686252,0.03645429005289974,12510,2147.0,mean_model_curve,eta,senogenic,0.09622940441732339,0.009260098274512778,1.018767507002801,-0.01700329770875258,-0.0005084879647461267
physical_activity,No Activity,No Activity,0.9746192893401016,0.9081521511404274,0.007002692156686252,0.03645429005289974,12510,2147.0,mean_model_curve,beta,senogenic,0.056354245281265265,0.0031758009612210085,0.9454181672669066,-0.06277739151654026,-0.05389705608233509
physical_activity,No Activity,No Activity,0.9746192893401016,0.9081521511404274,0.007002692156686252,0.03645429005289974,12510,2147.0,mean_model_curve,Xc,robustness,0.008155481857862211,6.651188433391965e-05,0.9348539415766306,-0.03339587221477134,-0.09362048283761913
physical_activity,No Activity,No Activity,0.9746192893401016,0.9081521511404274,0.007002692156686252,0.03645429005289974,12510,2147.0,mean_model_curve,epsilon,robustness,0.0007350153055303848,5.40247499363925e-07,1.08531412565026,-0.026383017446590884,-0.09605166165328655
physical_activity,No Activity,No Activity,0.9746192893401016,0.9081521511404274,0.007002692156686252,0.03645429005289974,12510,2147.0,mean_model_curve,h_ext,extrinsic,0.014697330056620772,0.00021601151079324836,0.0010034512519894118,-0.011102479765530106,-0.0979803777704173
physical_activity,Some Activity,Some Activity,1.0477157360406093,1.0982965077854543,0.0052752816474179,0.05354797967760916,23951,1356.0,mean_model_curve,eta,senogenic,0.09927076593907404,0.009854684970130423,0.9579831932773109,0.03877053298102768,-0.0052002055440045275
physical_activity,Some Activity,Some Activity,1.0477157360406093,1.0982965077854543,0.0052752816474179,0.05354797967760916,23951,1356.0,mean_model_curve,beta,senogenic,0.0415322134684077,0.001724924755585386,1.0683473389355742,0.0732384220034417,0.061885993030444925
physical_activity,Some Activity,Some Activity,1.0477157360406093,1.0982965077854543,0.0052752816474179,0.05354797967760916,23951,1356.0,mean_model_curve,Xc,robustness,0.014587656659416555,0.00021279972681302015,1.0779511804721889,0.032731809785788726,0.09824717342149872
physical_activity,Some Activity,Some Activity,1.0477157360406093,1.0982965077854543,0.0052752816474179,0.05354797967760916,23951,1356.0,mean_model_curve,epsilon,robustness,0.0220447870352963,0.0004859726354315678,0.9143657462985193,0.02523863044136127,0.0991583754281012
physical_activity,Some Activity,Some Activity,1.0477157360406093,1.0982965077854543,0.0052752816474179,0.05354797967760916,23951,1356.0,mean_model_curve,h_ext,extrinsic,0.11295155273742413,0.012758053265795105,0.0001,-0.0011665781836224676,-0.00858822873347331
sleep_duration,1-<5 hours,1-5 h sleep,0.9624365482233503,0.7337456584782316,0.02113626587561113,0.06305259864170545,2092,307.0,mean_model_curve,eta,senogenic,0.30975394024016745,0.09594750349430922,1.0120448179271708,-0.011007811004539637,-0.0010424370311439626
sleep_duration,1-<5 hours,1-5 h sleep,0.9624365482233503,0.7337456584782316,0.02113626587561113,0.06305259864170545,2092,307.0,mean_model_curve,beta,senogenic,0.21066576305209805,0.04438006372232273,0.8567426970788314,-0.17311802697311224,-0.14772653626608703
sleep_duration,1-<5 hours,1-5 h sleep,0.9624365482233503,0.7337456584782316,0.02113626587561113,0.06305259864170545,2092,307.0,mean_model_curve,Xc,robustness,0.07584813274073271,0.0057529392402558095,0.8224889955982393,-0.10790437590202613,-0.2794866865936355
sleep_duration,1-<5 hours,1-5 h sleep,0.9624365482233503,0.7337456584782316,0.02113626587561113,0.06305259864170545,2092,307.0,mean_model_curve,epsilon,robustness,0.05580129556307646,0.0031137845865178166,1.277390956382553,-0.09074520314255624,-0.2905682069052136
sleep_duration,1-<5 hours,1-5 h sleep,0.9624365482233503,0.7337456584782316,0.02113626587561113,0.06305259864170545,2092,307.0,mean_model_curve,h_ext,extrinsic,0.0033055328629819987,1.0926547508253968e-05,0.002918862261429105,-0.03501525212262861,-0.31006325467561174
sleep_duration,5-<7 hours,5-7 h sleep,1.0111675126903554,0.9422078568081933,0.00394953869907346,0.03357033060330004,12255,1251.0,mean_model_curve,eta,senogenic,0.05639027435092601,0.0031798630413727032,0.9826330532212885,0.015730016688205235,-0.0033290362084796104
sleep_duration,5-<7 hours,5-7 h sleep,1.0111675126903554,0.9422078568081933,0.00394953869907346,0.03357033060330004,12255,1251.0,mean_model_curve,beta,senogenic,0.05275208447777323,0.0027827824167501233,0.9793517406962784,-0.023525631571537052,-0.019736672622160972
sleep_duration,5-<7 hours,5-7 h sleep,1.0111675126903554,0.9422078568081933,0.00394953869907346,0.03357033060330004,12255,1251.0,mean_model_curve,Xc,robustness,0.030381130287058047,0.0009230130775191958,0.9643057222889155,-0.017604624646258598,-0.04959281842737928
sleep_duration,5-<7 hours,5-7 h sleep,1.0111675126903554,0.9422078568081933,0.00394953869907346,0.03357033060330004,12255,1251.0,mean_model_curve,epsilon,robustness,0.026285200770884695,0.0006909117795657174,1.0462585034013605,-0.01427047041494428,-0.052676199740578036
sleep_duration,5-<7 hours,5-7 h sleep,1.0111675126903554,0.9422078568081933,0.00394953869907346,0.03357033060330004,12255,1251.0,mean_model_curve,h_ext,extrinsic,0.017897447907622037,0.0003203186416060444,0.0005906471551274091,-0.006683543125193754,-0.057563554907934585
sleep_duration,7-<9 hours,7-9 h sleep,1.0233502538071066,1.1442717104369384,0.002106592868928802,0.04191548314543049,22189,2178.0,mean_model_curve,eta,senogenic,0.13823253883915898,0.019108234793919595,0.9871148459383753,0.01160355677711361,-0.002986787748174219
