curve_set,topic,group,label,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,central_best_distance,central_second_distance,central_distance_margin
Xc_low,physical_activity,No Activity,No Activity,300,epsilon,robustness,0.05333333333333334,0.07,0.17333333333333334,0.31666666666666665,0.38666666666666666,0.12333333333333334,0.49,0.38666666666666666,0.07108423935604245,0.040599274672808675,0.008897202762005972,0.003989558703336854,0.010948607219555064,0.003989558703336854,0.008897202762005972,0.004907644058669118
beta_high,physical_activity,No Activity,No Activity,300,Xc,robustness,0.04,0.06333333333333334,0.47333333333333333,0.3466666666666667,0.07666666666666666,0.10333333333333333,0.82,0.07666666666666666,0.0710056699351433,0.04563900734527025,0.001099286598941037,0.005535924259985299,0.015706820705823944,0.001099286598941037,0.005535924259985299,0.004436637661044262
beta_low,physical_activity,No Activity,No Activity,300,epsilon,robustness,0.05,0.07,0.23666666666666666,0.35333333333333333,0.29,0.12,0.59,0.29,0.07185875430445568,0.04120902858451342,0.0075440865756085775,0.00022856391157272755,0.011629597584923114,0.00022856391157272755,0.0075440865756085775,0.00731552266403585
central,physical_activity,No Activity,No Activity,300,Xc,robustness,0.04666666666666667,0.08333333333333333,0.38,0.34,0.15,0.13,0.72,0.15,0.07117253766412172,0.0408467713897192,0.0023656417786483627,0.004503128316362892,0.01510039328529549,0.0023656417786483627,0.004503128316362892,0.0021374865377145292
epsilon_high,physical_activity,No Activity,No Activity,300,epsilon,robustness,0.056666666666666664,0.07333333333333333,0.2966666666666667,0.33,0.24333333333333335,0.13,0.6266666666666667,0.24333333333333335,0.06220624884287565,0.03691828419895708,0.0043507977904707045,0.0009091682552232818,0.013739314888776883,0.0009091682552232818,0.0043507977904707045,0.0034416295352474226
epsilon_low,physical_activity,No Activity,No Activity,300,Xc,robustness,0.04666666666666667,0.09666666666666666,0.5333333333333333,0.2833333333333333,0.04,0.14333333333333334,0.8166666666666667,0.04,0.07250486549666967,0.03787679745737068,0.0026806006016818614,0.007415609239322973,0.01656942354909905,0.0026806006016818614,0.007415609239322973,0.0047350086376411115
eta_high,physical_activity,No Activity,No Activity,300,epsilon,robustness,0.03666666666666667,0.07,0.3566666666666667,0.35333333333333333,0.18333333333333332,0.10666666666666667,0.71,0.18333333333333332,0.08109950768794184,0.045206959454465415,0.005431627830244373,0.0024109246931203793,0.013904058122094486,0.0024109246931203793,0.005431627830244373,0.0030207031371239936
eta_low,physical_activity,No Activity,No Activity,300,Xc,robustness,0.05,0.08666666666666667,0.37333333333333335,0.31,0.18,0.13666666666666666,0.6833333333333333,0.18,0.07241080813259419,0.03841367330304052,0.0005854042582327781,0.002926257570610812,0.015146321145421662,0.0005854042582327781,0.002926257570610812,0.0023408533123780335
xc_std_frac_high,physical_activity,No Activity,No Activity,300,Xc,robustness,0.04,0.08,0.37,0.31333333333333335,0.19666666666666666,0.12,0.6833333333333333,0.19666666666666666,0.07316268529495532,0.04515124496297035,0.001026816205166405,0.00197126072335449,0.013432748829408958,0.001026816205166405,0.00197126072335449,0.0009444445181880849
xc_std_frac_low,physical_activity,No Activity,No Activity,300,Xc,robustness,0.04,0.09,0.37,0.31666666666666665,0.18333333333333332,0.13,0.6866666666666666,0.18333333333333332,0.07957646626253176,0.04172310108151534,0.0029555142819847435,0.0034970262535390963,0.013526628197698617,0.0029555142819847435,0.0034970262535390963,0.0005415119715543528
