topic,group,label,age,xc_factor,gain_years,gain_low,gain_high
sleep_duration,7-<9 hours,7-9 h sleep,95,1.1026010404161664,0.40901146001654665,0.2291414948939859,0.6686900887099515
sleep_duration,7-<9 hours,7-9 h sleep,100,1.1026010404161664,0.23000615733816465,0.06560741642611444,0.3352009386923626
sleep_duration,>=9 hours,>=9 h sleep,60,0.8279311724689875,-5.938284000652555,-8.108666540039069,-3.921306572909138
sleep_duration,>=9 hours,>=9 h sleep,65,0.8279311724689875,-5.217449191392553,-7.018635522209316,-3.4608834157684254
sleep_duration,>=9 hours,>=9 h sleep,70,0.8279311724689875,-4.3057803267437995,-5.754516743833448,-2.8841416834811464
sleep_duration,>=9 hours,>=9 h sleep,75,0.8279311724689875,-3.417081017255608,-4.500454505725965,-2.326095181554239
sleep_duration,>=9 hours,>=9 h sleep,80,0.8279311724689875,-2.5181651404936845,-3.2052531710458547,-1.7258688233257866
sleep_duration,>=9 hours,>=9 h sleep,85,0.8279311724689875,-1.6486194477791167,-2.147285109899501,-1.1466772966016063
sleep_duration,>=9 hours,>=9 h sleep,90,0.8279311724689875,-1.0676644327930283,-1.400252608672214,-0.7349492161772032
sleep_duration,>=9 hours,>=9 h sleep,95,0.8279311724689875,-0.6662618960309147,-0.8158830985945925,-0.4193374653058806
sleep_duration,>=9 hours,>=9 h sleep,100,0.8279311724689875,-0.5386630033560651,-0.508662088152532,-0.37582786177639976
sleep_frailty,Q4 (highest),Q4 sleep frailty,60,0.8714685874349739,-4.35764861009444,-6.165745256373456,-2.567511987997176
sleep_frailty,Q4 (highest),Q4 sleep frailty,65,0.8714685874349739,-3.8485428195235625,-5.409829864071413,-2.273912958257515
sleep_frailty,Q4 (highest),Q4 sleep frailty,70,0.8714685874349739,-3.21155498529576,-4.451703187578479,-1.9165666266506591
sleep_frailty,Q4 (highest),Q4 sleep frailty,75,0.8714685874349739,-2.5831328736572114,-3.5251857469131602,-1.5741170165906722
sleep_frailty,Q4 (highest),Q4 sleep frailty,80,0.8714685874349739,-1.9192343547122406,-2.5924350656876136,-1.1644160985256502
sleep_frailty,Q4 (highest),Q4 sleep frailty,85,0.8714685874349739,-1.2625559431216211,-1.7004801920768355,-0.7309077801801933
sleep_frailty,Q4 (highest),Q4 sleep frailty,90,0.8714685874349739,-0.8049766158988982,-1.1066592926073662,-0.5143880275655883
sleep_frailty,Q4 (highest),Q4 sleep frailty,95,0.8714685874349739,-0.5128775042349449,-0.6739466920933348,-0.22097999582575287
sleep_frailty,Q4 (highest),Q4 sleep frailty,100,0.8714685874349739,-0.39111802366256315,-0.5763097884678468,-0.25901518096774323
sleep_frailty,Q1 (lowest),Q1 sleep frailty,60,1.0417767106842737,1.3255643612297794,-1.531252850127069,4.020591924384804
sleep_frailty,Q1 (lowest),Q1 sleep frailty,65,1.0417767106842737,1.1968658811353896,-1.3671516317275942,3.732343627620199
sleep_frailty,Q1 (lowest),Q1 sleep frailty,70,1.0417767106842737,1.0709959616523461,-1.180708227438233,3.332425184030699
sleep_frailty,Q1 (lowest),Q1 sleep frailty,75,1.0417767106842737,0.8140449442501332,-0.9935759649188375,2.760490586037728
sleep_frailty,Q1 (lowest),Q1 sleep frailty,80,1.0417767106842737,0.6269285335508842,-0.7332581441702474,2.150845520165625
sleep_frailty,Q1 (lowest),Q1 sleep frailty,85,1.0417767106842737,0.4116319473330473,-0.39837429818531744,1.529399113050122
sleep_frailty,Q1 (lowest),Q1 sleep frailty,90,1.0417767106842737,0.2691552793970437,-0.331882744260875,0.9505545173212369
sleep_frailty,Q1 (lowest),Q1 sleep frailty,95,1.0417767106842737,0.21417621695747258,-0.11676095992220233,0.5523912984202359
sleep_frailty,Q1 (lowest),Q1 sleep frailty,100,1.0417767106842737,0.06029319262416015,-0.12829853685153136,0.2812517091946866
church_frequency,never,never,60,0.9700680272108844,-0.9600288519429236,-3.0743728435746744,1.1672031741086284
church_frequency,never,never,65,0.9700680272108844,-0.8598592539111461,-2.715127200803748,1.0527379311529912
church_frequency,never,never,70,0.9700680272108844,-0.7494928222206511,-2.2689075630252136,0.9414994692014603
church_frequency,never,never,75,0.9700680272108844,-0.6304147718188144,-1.8457539433634658,0.7148814734957474
church_frequency,never,never,80,0.9700680272108844,-0.4664361235651364,-1.3666396622910173,0.5504620385088408
church_frequency,never,never,85,0.9700680272108844,-0.24857536913703754,-0.8999080731601814,0.35790927329201677
church_frequency,never,never,90,0.9700680272108844,-0.21214621384304236,-0.5967829381664698,0.23555401987108163
church_frequency,never,never,95,0.9700680272108844,-0.07469896309863762,-0.2818259429708261,0.18788638631146698
church_frequency,never,never,100,0.9700680272108844,-0.07417497717107978,-0.32192953960121085,0.05254795083579897
church_frequency,sometimes,sometimes,60,1.0004801920768307,0.015365070778882986,-3.2338607735763016,3.1910211949905465
church_frequency,sometimes,sometimes,65,1.0004801920768307,0.013806936981687463,-2.8544315707494707,2.9317176809859915
church_frequency,sometimes,sometimes,70,1.0004801920768307,0.012130732661186087,-2.3813525410164105,2.6124988027384246
church_frequency,sometimes,sometimes,75,1.0004801920768307,0.009702794150315209,-1.9327494415483686,2.1174202657124126
church_frequency,sometimes,sometimes,80,1.0004801920768307,0.00731870401873863,-1.4313815351844037,1.6139451262260747
church_frequency,sometimes,sometimes,85,1.0004801920768307,0.004415866163738692,-0.9501711455192617,1.1803753286771512
church_frequency,sometimes,sometimes,90,1.0004801920768307,0.0032325199374362698,-0.6227269714691839,0.7479874161843376
church_frequency,sometimes,sometimes,95,1.0004801920768307,0.0016216479832925896,-0.30252988460500446,0.4250246172390245
church_frequency,sometimes,sometimes,100,1.0004801920768307,0.0009258042642255339,-0.33736082320261435,0.23782896760163932
church_frequency,weekly,weekly,60,1.1144457783113246,3.3850510312583415,-0.24036186349559144,6.678916586811949
church_frequency,weekly,weekly,65,1.1144457783113246,3.1179773584266166,-0.21586853912455442,6.253782371456009
church_frequency,weekly,weekly,70,1.1144457783113246,2.7793530897997933,-0.18941916335824313,5.678556037165358
church_frequency,weekly,weekly,75,1.1144457783113246,2.2654375094369428,-0.1545081716597815,4.80315159309846
church_frequency,weekly,weekly,80,1.1144457783113246,1.73577544687664,-0.11572384753534339,3.7776557928532246
church_frequency,weekly,weekly,85,1.1144457783113246,1.2616715003987242,-0.0664614773548872,2.7769807923169174
church_frequency,weekly,weekly,90,1.1144457783113246,0.7952932953326675,-0.051771206322340016,1.7762600664647266
church_frequency,weekly,weekly,95,1.1144457783113246,0.45229016503591785,-0.022777325958774033,1.0758534835272493
church_frequency,weekly,weekly,100,1.1144457783113246,0.248836962252081,-0.01573011536599959,0.6252791158304101
education_level,no highschool,no high school,60,0.8849139655862345,-3.9109212280831804,-4.726114728516411,-3.028677711384745
education_level,no highschool,no high school,65,0.8849139655862345,-3.451658088525503,-4.173945233804562,-2.6752761096425597
education_level,no highschool,no high school,70,0.8849139655862345,-2.8763641262090753,-3.483766069213551,-2.2368947579031633
education_level,no highschool,no high school,75,0.8849139655862345,-2.3199825920445294,-2.7952731677570952,-1.8210410196616
education_level,no highschool,no high school,80,0.8849139655862345,-1.7212613291249814,-2.0767307980648915,-1.348244270654997
education_level,no highschool,no high school,85,0.8849139655862345,-1.1438478144059632,-1.356680448795159,-0.8851548574521352
education_level,no highschool,no high school,90,0.8849139655862345,-0.7332754298595942,-0.864194398427855,-0.5893732686500208
education_level,no highschool,no high school,95,0.8849139655862345,-0.4171471554186964,-0.5810171364817179,-0.27604068572338364
education_level,no highschool,no high school,100,0.8849139655862345,-0.3754269248861375,-0.40526029970063,-0.3170134804274146
education_level,some college,some college,60,1.0529811924769907,1.6639392236803374,0.11766025324269085,3.1651867687742214
education_level,some college,some college,65,1.0529811924769907,1.5066710412179152,0.10573455488972047,2.9070341722082422
education_level,some college,some college,70,1.0529811924769907,1.3476721026882605,0.09313754851345185,2.590410258853785
education_level,some college,some college,75,1.0529811924769907,1.0339564342782808,0.07384847383941884,2.0979472435808737
education_level,some college,some college,80,1.0529811924769907,0.7945984928532858,0.05587749723440738,1.59814646671418
education_level,some college,some college,85,1.0529811924769907,0.5329855664385064,0.03395045709509743,1.169530828258055
education_level,some college,some college,90,1.0529811924769907,0.34603619093765875,0.02452063357144935,0.7415955988316998
education_level,some college,some college,95,1.0529811924769907,0.2608491585623437,0.013424049503182513,0.421531951589451
education_level,some college,some college,100,1.0529811924769907,0.08147443917009016,0.0067764345888291985,0.2362255899936507
