parameter,parameter_label,allowed_slope_distortion_fraction,allowed_parameter_cv,tau_ref,scale
beta,$\beta$,0.04738955823293173,0.01802380734965963,98.61640439041227,9.861640439041228
beta,$\beta$,0.0493574297188755,0.01839422415249254,98.61640439041227,9.861640439041228
beta,$\beta$,0.05132530120481928,0.01875732744733736,98.61640439041227,9.861640439041228
beta,$\beta$,0.05329317269076306,0.01911353404687712,98.61640439041227,9.861640439041228
beta,$\beta$,0.05526104417670683,0.01946322261486073,98.61640439041227,9.861640439041228
beta,$\beta$,0.057228915662650606,0.01980673838243242,98.61640439041227,9.861640439041228
beta,$\beta$,0.05919678714859438,0.020144397140262525,98.61640439041227,9.861640439041228
beta,$\beta$,0.061164658634538155,0.020476488637925994,98.61640439041227,9.861640439041228
beta,$\beta$,0.06313253012048192,0.02080327949467602,98.61640439041227,9.861640439041228
beta,$\beta$,0.0651004016064257,0.02112501570480134,98.61640439041227,9.861640439041228
beta,$\beta$,0.06706827309236948,0.02144192480451787,98.61640439041227,9.861640439041228
beta,$\beta$,0.06903614457831325,0.021754217754658384,98.61640439041227,9.861640439041228
beta,$\beta$,0.07100401606425703,0.022062090583432694,98.61640439041227,9.861640439041228
beta,$\beta$,0.0729718875502008,0.022365725825603894,98.61640439041227,9.861640439041228
beta,$\beta$,0.07493975903614458,0.02266529378809329,98.61640439041227,9.861640439041228
beta,$\beta$,0.07690763052208835,0.02296095366693369,98.61640439041227,9.861640439041228
beta,$\beta$,0.07887550200803213,0.023252854536369747,98.61640439041227,9.861640439041228
beta,$\beta$,0.0808433734939759,0.023541136227549986,98.61640439041227,9.861640439041228
beta,$\beta$,0.08281124497991968,0.02382593011151006,98.61640439041227,9.861640439041228
beta,$\beta$,0.08477911646586345,0.024107359798888332,98.61640439041227,9.861640439041228
beta,$\beta$,0.08674698795180723,0.024385541766947738,98.61640439041227,9.861640439041228
beta,$\beta$,0.088714859437751,0.02466058592292665,98.61640439041227,9.861640439041228
beta,$\beta$,0.09068273092369478,0.02493259611144703,98.61640439041227,9.861640439041228
beta,$\beta$,0.09265060240963856,0.025201670572623534,98.61640439041227,9.861640439041228
beta,$\beta$,0.09461847389558233,0.02546790235660437,98.61640439041227,9.861640439041228
beta,$\beta$,0.0965863453815261,0.025731379699503676,98.61640439041227,9.861640439041228
beta,$\beta$,0.09855421686746987,0.02599218636503142,98.61640439041227,9.861640439041228
beta,$\beta$,0.10052208835341366,0.02625040195557052,98.61640439041227,9.861640439041228
beta,$\beta$,0.10248995983935742,0.02650610219597585,98.61640439041227,9.861640439041228
beta,$\beta$,0.1044578313253012,0.02675935919296296,98.61640439041227,9.861640439041228
beta,$\beta$,0.10642570281124498,0.027010241672604615,98.61640439041227,9.861640439041228
beta,$\beta$,0.10839357429718875,0.027258815198152,98.61640439041227,9.861640439041228
beta,$\beta$,0.11036144578313253,0.027505142370136855,98.61640439041227,9.861640439041228
beta,$\beta$,0.1123293172690763,0.027749283010485033,98.61640439041227,9.861640439041228
beta,$\beta$,0.11429718875502008,0.027991294332175645,98.61640439041227,9.861640439041228
beta,$\beta$,0.11626506024096385,0.028231231095809193,98.61640439041227,9.861640439041228
