series,age,value,value_low,value_high,n_sim,dt,random_seed
mortality,96.5,0.1392113845377234,0.13481092718550236,0.14361184188994439,160000,0.05,20260604
mortality,97.5,0.14928504949260046,0.14437016123814422,0.15419993774705668,160000,0.05,20260604
mortality,98.5,0.15870573215624878,0.15320845779304545,0.16420300651945213,160000,0.05,20260604
mortality,99.5,0.16773755786291947,0.1615708967179187,0.17390421900792025,160000,0.05,20260604
mortality,100.5,0.17797692610371293,0.17100625849066736,0.1849475937167585,160000,0.05,20260604
mortality,101.5,0.18964704720120837,0.1817015444803711,0.19759254992204564,160000,0.05,20260604
mortality,102.5,0.20130613284617835,0.19220542796077836,0.21040683773157834,160000,0.05,20260604
mortality,103.5,0.21118083611605967,0.2007441705883626,0.22161750164375674,160000,0.05,20260604
mortality,104.5,0.22134578377757344,0.2092936018843467,0.2333979656708002,160000,0.05,20260604
mortality,105.5,0.23623846369254706,0.22208878630702344,0.2503881410780707,160000,0.05,20260604
mortality,106.5,0.25483962190582554,0.23798169521927853,0.27169754859237255,160000,0.05,20260604
mortality,107.5,0.2722916554908526,0.25206834271036427,0.2925149682713409,160000,0.05,20260604
mortality,108.5,0.28716211589412216,0.26276713625639997,0.3115570955318444,160000,0.05,20260604
mortality,109.5,0.3011794779499746,0.2715357577569358,0.3308231981430135,160000,0.05,20260604
mortality,110.5,0.3125891561162621,0.27641595855752965,0.3487623536749946,160000,0.05,20260604
mortality,111.5,0.32419628631348535,0.27960710130484306,0.3687854713221277,160000,0.05,20260604
mortality,112.5,0.3432545078957632,0.2871940675493586,0.3993149482421677,160000,0.05,20260604
mortality,113.5,0.36368883631355314,0.292218043722628,0.43515962890447824,160000,0.05,20260604
mortality,114.5,0.3874077327781261,0.2939291572183885,0.4808863083378637,160000,0.05,20260604
mortality,115.5,0.42796971313684606,0.3003965750607546,0.5555428512129376,160000,0.05,20260604
mortality,116.5,0.46889361854693506,0.28975386330313696,0.6480333737907331,160000,0.05,20260604
mortality,117.5,0.5027494880346017,0.24451368178757507,0.7609852942816285,160000,0.05,20260604
mortality,118.5,0.5538144546383583,0.16646506110031722,0.9411638481763993,160000,0.05,20260604
mortality,119.5,0.66683134427589,0.08128875376486623,1.2523739347869136,160000,0.05,20260604
mortality,120.5,0.805505610699572,0.0341920990803377,1.5768191223188064,160000,0.05,20260604
