scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,age,survival
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,56,0.963771
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,57,0.961205
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,58,0.958272
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,59,0.954927
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,60,0.951131
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,61,0.946854
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,62,0.942108
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,63,0.936731
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,64,0.930641
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,65,0.923805
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,66,0.91593
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,67,0.907235
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,68,0.897317
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,69,0.88622
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,70,0.8738
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,71,0.859704
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,72,0.844275
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,73,0.827249
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,74,0.808294
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,75,0.78727
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,76,0.764284
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,77,0.739371
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,78,0.711736
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,79,0.681961
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,80,0.650276
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,81,0.6164
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,82,0.580421
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,83,0.542548
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,84,0.503399
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,85,0.462725
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,86,0.421369
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,87,0.379605
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,88,0.337992
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,89,0.297268
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,90,0.257986
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,91,0.220917
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,92,0.185992
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,93,0.154192
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,94,0.125165
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,95,0.099802
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,96,0.077806
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,97,0.059197
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,98,0.043938
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,99,0.031762
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,100,0.022327
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,101,0.015288
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,102,0.010139
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,103,0.006447
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,104,0.003979
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,105,0.002354
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,106,0.001352
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,107,0.000739
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,108,0.00036
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,109,0.000163
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,110,8e-05
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,111,3.3e-05
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,112,1.4e-05
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,113,6e-06
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,114,1e-06
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,115,0.0
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,116,0.0
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,117,0.0
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,118,0.0
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,119,0.0
exponential,2020,2019,central,0.995338171627344,0.0003767783778403,1000000,0,3550534327,120,0.0
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,0,1.0
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,1,0.999625
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,2,0.999267
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,3,0.998922
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,4,0.998591
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,5,0.998248
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,6,0.997889
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,7,0.997564
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,8,0.997223
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,9,0.996888
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,10,0.996565
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,11,0.996193
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,12,0.995811
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,13,0.995463
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,14,0.995086
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,15,0.994752
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,16,0.994388
