year,ggm_m,ggm_m_stderr,ggm_fit_age_start,ggm_fit_age_end,ci_method,ggm_m_ci_low,ggm_m_ci_high
2002,0.00025930999996153105,2.2018048614079872e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00021955514676764428,0.0003062632649245579
2003,0.00023335805375154008,2.4526173647773473e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0001899155949634418,0.00028673780718844755
2004,0.00024156537108081902,2.7831196912931458e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00019273747277584095,0.00030276327516902185
2005,0.00021615888820130887,2.2909984887526017e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00017561313092854687,0.00026606589553623524
2006,0.0002235652451747725,2.7404299563180265e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00017581877695115402,0.0002842780487771336
2007,0.00020558920103625643,2.646596345515003e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0001597435002666787,0.0002645924216770329
2008,0.0002459837950461426,2.787928964204739e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00019698497069819965,0.00030717078166337346
2009,0.00021448050358097975,2.335363948994314e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00017326267652338848,0.000265503727285091
2010,0.000195459654975649,2.581134104607294e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0001508870864069798,0.0002531991148676092
2011,0.00016744878085817985,2.2527553488633083e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.000128637160658941,0.00021797040658594376
2012,0.00014046413434956007,1.8515311014419745e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00010848360954283629,0.00018187238719025587
2013,0.0001003824207633337,1.837741966848975e-05,20,100,lognormal delta-method from GGM curve_fit covariance,7.011722540315849e-05,0.00014371119707559134
2014,0.0001403229351607961,1.823952832255975e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00010876454344369157,0.00018103809852642794
2015,0.000142546323867886,1.8101636976629752e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.000111138326444923,0.00018283030794347973
2016,0.00019946462387408957,1.9710068669530433e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0001643442530961121,0.0002420902187188999
2017,0.0001652122724443817,1.8278803843216962e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00013300464822858503,0.00020521910572122702
2018,0.00011214714462412787,1.6847539016903495e-05,20,100,lognormal delta-method from GGM curve_fit covariance,8.354388957463094e-05,0.00015054341031261006
2019,0.00016655005234216653,1.5416274190590025e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00013891703569876663,0.00019967975702655087
2020,0.00021016676699098623,1.5416274190590025e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00018202297817851662,0.00024266205502980118
