scenario,year,age,survival,survival low,survival high
exponential,2040,10,0.996686,0.996419,0.996809
exponential,2040,11,0.996373,0.996076,0.996483
exponential,2040,12,0.996055,0.995713,0.996138
exponential,2040,13,0.995754,0.995358,0.99581
exponential,2040,14,0.995453,0.994985,0.995516
exponential,2040,15,0.995111,0.994651,0.995187
exponential,2040,16,0.99476,0.994312,0.994854
exponential,2040,17,0.994401,0.993957,0.994529
exponential,2040,18,0.994058,0.993574,0.994214
exponential,2040,19,0.9937,0.993216,0.9939
exponential,2040,20,0.993386,0.992848,0.993532
exponential,2040,21,0.993056,0.992486,0.993165
exponential,2040,22,0.992733,0.992134,0.992858
exponential,2040,23,0.992432,0.991768,0.992545
exponential,2040,24,0.992109,0.99142,0.992238
exponential,2040,25,0.991776,0.991076,0.99192
exponential,2040,26,0.991432,0.990689,0.991594
exponential,2040,27,0.991067,0.990323,0.99127
exponential,2040,28,0.990731,0.990006,0.990955
exponential,2040,29,0.990374,0.989622,0.990609
exponential,2040,30,0.990026,0.989279,0.990297
exponential,2040,31,0.989666,0.988897,0.989985
exponential,2040,32,0.989308,0.98851,0.989647
exponential,2040,33,0.988934,0.988131,0.989347
exponential,2040,34,0.988552,0.987723,0.988995
exponential,2040,35,0.988203,0.987334,0.988652
exponential,2040,36,0.987797,0.986931,0.98828
exponential,2040,37,0.98742,0.986502,0.987924
exponential,2040,38,0.987028,0.986095,0.987567
exponential,2040,39,0.986615,0.985655,0.987184
exponential,2040,40,0.986203,0.9852,0.986752
exponential,2040,41,0.985757,0.984718,0.986363
exponential,2040,42,0.985316,0.984224,0.985923
exponential,2040,43,0.984879,0.983724,0.985495
exponential,2040,44,0.984371,0.983176,0.98503
exponential,2040,45,0.983867,0.98258,0.984559
exponential,2040,46,0.983344,0.98199,0.984024
exponential,2040,47,0.982747,0.981362,0.983487
exponential,2040,48,0.98209,0.980653,0.982881
exponential,2040,49,0.981429,0.979907,0.982174
exponential,2040,50,0.980706,0.979077,0.98149
