year,Median,Top 10%,Top 1%,Top 0.01%,Median smoothed,Top 10% smoothed,Top 1% smoothed,Top 0.01% smoothed
1936,73.66783925187431,86.45876224786379,93.89483614949377,102.3881823687829,73.91993982686662,86.74710818341133,94.18158528055824,102.7051044036009
1937,73.64649867613925,86.45925271053197,93.75906844162546,102.23025173805009,73.94591879796397,86.61546378406464,93.9533993544243,102.43566535636751
1938,74.07265026831601,86.89879498649528,94.56471756547631,103.55103990517556,74.00697920709317,86.59664720251796,93.93547932510643,102.44294018434903
1939,74.32892279197222,86.59408147280817,93.63908981432432,101.77884986159724,74.21761203017581,86.6471701212311,93.91187019250377,102.38460349205806
1940,74.31898504716405,86.57234459489057,93.81968465461225,102.26637704813933,74.66163937323931,87.03244641572965,94.33936627313726,102.80708002133638
1941,74.72100336728752,86.71137684142948,93.77679048648048,102.09649890732815,75.02598854295901,87.31294019247444,94.58214899695949,103.00029699293154
1942,75.86663539145674,88.38563418302475,95.89654884479295,104.34263438444162,75.19820516598631,87.49973118061911,94.85041697476073,103.35971152333403
1943,75.8943961169145,88.30126387021924,95.77863118458738,104.51712476315133,75.42388478391081,87.68971490839455,95.06935103681624,103.6202200355835
1944,75.19000590710881,87.5280364135315,94.98042970333057,103.57592251360964,75.62105417103544,87.84716628112986,95.27696251897186,103.84760970063374
1945,75.44738313678646,87.52226323376777,94.91435496488982,103.56891960938674,75.51283300643166,87.58449554711777,94.89130626130915,103.4443504344626
1946,75.70685030291067,87.49863370510604,94.81484789725859,103.23344723257934,75.54885695058879,87.53741221226225,94.84974354225251,103.38530091489488
1947,75.32552956843787,87.07228051296424,93.96826755647942,102.32633805358601,75.7100064768705,87.61037464399907,94.84308944652533,103.33367666871273
1948,76.07451583770015,88.06584719594176,95.57081758930413,104.22187716531266,75.8480674707613,87.62950357404544,94.80581419556533,103.26283695236835
1949,75.99575353851732,87.89284857221551,94.94715922469467,103.3178012826989,75.98887757556068,87.67619664216234,94.7774219270007,103.16204171737634
1950,76.13768810624045,87.61790788399962,94.72797871008987,103.21472102766478,76.25505834731716,87.88401786718967,95.03472452221597,103.41196277946187
1951,76.41090082690752,87.73209904569053,94.67288655443542,102.72947105761928,76.35357172502373,87.89711843640775,94.98625366598128,103.34644875129216
1952,76.65643342722035,88.11138663810095,95.25478053255573,103.57594336401377,76.5226460870773,87.98119966797279,95.10326554515687,103.4915076602176
1953,76.56708272623291,88.13135004203218,95.32846330813074,103.89430702446407,76.70706086880234,88.20105995487958,95.31679915365311,103.74301606886097
1954,76.84112534878534,88.31325473004061,95.53221862057262,104.04309582732607,76.83238381568746,88.35961373184082,95.55205527892247,104.09139474706555
1955,77.05976201486556,88.71720931853365,95.79564675257103,104.47226307088165,76.88400766303691,88.39257704646705,95.56832794982445,104.09043590540675
1956,77.03751556133321,88.52486793049668,95.84916718078225,104.47136444864219,77.04026446704184,88.49862976800853,95.66491676404245,104.17201677177013
1957,76.91455266396761,88.27620321123214,95.33614388706563,103.57114915571981,77.19251530863204,88.62225823474846,95.77324852848218,104.2383298007195
1958,77.34836674625748,88.66161364973952,95.8114073792207,104.30221135628094,77.22033965387448,88.58841666800102,95.74327662259122,104.12125859616239
1959,77.60237955673638,88.93139706374033,96.07387744277133,104.37466097207285,77.33467746275275,88.67383035271396,95.82524716943297,104.17015099534902
1960,77.19888374107768,88.54800148479637,95.64578722311622,103.8869070480962,77.43666666554842,88.750200615415,95.91413587961526,104.28663414319035
