delta,p,max_ratio_to_hmd_100_105_110,max_excess_over_hmd_100_105_110,passes_hmd_bound,pmax_mixture_vs_hmd,pmax_conservative_component_only
0.05,0.0002818382931264455,0.4840419371353368,-0.00014706691069266966,True,0.21007512749071627,0.22184572208650186
0.05,0.00031622776601683794,0.4840836819874214,-0.00014704280337466305,True,0.21007512749071627,0.22184572208650186
0.05,0.0003548133892335757,0.4841305204818324,-0.0001470157545189759,True,0.21007512749071627,0.22184572208650186
0.05,0.00039810717055349735,0.4841830741369334,-0.00014698540520372718,True,0.21007512749071627,0.22184572208650186
0.05,0.0004466835921509635,0.48424204030779766,-0.00014695135271194267,True,0.21007512749071627,0.22184572208650186
0.05,0.0005011872336272725,0.48430820143968684,-0.00014691314518774551,True,0.21007512749071627,0.22184572208650186
0.05,0.0005623413251903491,0.4843824354506241,-0.00014687027564050308,True,0.21007512749071627,0.22184572208650186
0.05,0.0006309573444801936,0.4844657273808326,-0.00014682217521736952,True,0.21007512749071627,0.22184572208650186
0.05,0.000707945784384138,0.48455918246362073,-0.00014676820565495392,True,0.21007512749071627,0.22184572208650186
0.05,0.0007943282347242822,0.4846640407911576,-0.00014670765080995304,True,0.21007512749071627,0.22184572208650186
0.05,0.0008912509381337459,0.4847816937697411,-0.00014663970715636464,True,0.21007512749071627,0.22184572208650186
0.05,0.001,0.48491370258291544,-0.00014656347312318576,True,0.21007512749071627,0.22184572208650186
0.05,0.0011220184543019641,0.4850618189074274,-0.0001464779371311132,True,0.21007512749071627,0.22184572208650186
0.05,0.0012589254117941675,0.4852280081569133,-0.00014638196416950073,True,0.21007512749071627,0.22184572208650186
0.05,0.0014125375446227555,0.485414475561743,-0.00014627428073545753,True,0.21007512749071627,0.22184572208650186
0.05,0.001584893192461114,0.48562369543108774,-0.00014615345793523847,True,0.21007512749071627,0.22184572208650186
0.05,0.0017782794100389228,0.4858584439854993,-0.00014601789252369224,True,0.21007512749071627,0.22184572208650186
0.05,0.0019952623149688807,0.48612183619566984,-0.00014586578563017231,True,0.21007512749071627,0.22184572208650186
0.05,0.00223872113856834,0.48641736711620026,-0.00014569511888861645,True,0.21007512749071627,0.22184572208650186
0.05,0.002511886431509582,0.4867489582628525,-0.00014550362765505516,True,0.21007512749071627,0.22184572208650186
0.05,0.002818382931264455,0.48712100964867944,-0.00014528877095716235,True,0.21007512749071627,0.22184572208650186
0.05,0.0031622776601683794,0.48753845816952573,-0.00014504769777709623,True,0.21007512749071627,0.22184572208650186
0.05,0.0035481338923357567,0.48800684311363635,-0.0001447772092202248,True,0.21007512749071627,0.22184572208650186
0.05,0.003981071705534973,0.48853237966464574,-0.00014447371606773752,True,0.21007512749071627,0.22184572208650186
0.05,0.004466835921509635,0.48912204137328846,-0.00014413319114989253,True,0.21007512749071627,0.22184572208650186
0.05,0.005011872336272725,0.4897836526921808,-0.00014375111590792078,True,0.21007512749071627,0.22184572208650186
0.05,0.005623413251903491,0.4905259928015531,-0.0001433224204354966,True,0.21007512749071627,0.22184572208650186
0.05,0.006309573444801936,0.4913589121036374,-0.00014284141620416098,True,0.21007512749071627,0.22184572208650186
0.05,0.00707945784384138,0.49229346293152026,-0.00014230172058000507,True,0.21007512749071627,0.22184572208650186
0.05,0.00794328234724282,0.4933420462068879,-0.00014169617212999612,True,0.21007512749071627,0.22184572208650186
0.05,0.008912509381337459,0.4945185759927229,-0.00014101673559411215,True,0.21007512749071627,0.22184572208650186
0.05,0.01,0.49583866412446576,-0.0001402543952623233,True,0.21007512749071627,0.22184572208650186
0.05,0.01122018454301963,0.49731982736958613,-0.00013939903534159755,True,0.21007512749071627,0.22184572208650186
0.05,0.012589254117941687,0.49898171986444506,-0.000138439305725473,True,0.21007512749071627,0.22184572208650186
0.05,0.014125375446227554,0.5008463939127425,-0.0001373624713850411,True,0.21007512749071627,0.22184572208650186
0.05,0.01584893192461114,0.5029385926061906,-0.00013615424338285045,True,0.21007512749071627,0.22184572208650186
0.05,0.01778279410038923,0.5052860781503055,-0.00013479858926738813,True,0.21007512749071627,0.22184572208650186
0.05,0.01995262314968879,0.5079200002520095,-0.00013327752033218902,True,0.21007512749071627,0.22184572208650186
0.05,0.022387211385683423,0.5108753094573153,-0.00013157085291663013,True,0.21007512749071627,0.22184572208650186
0.05,0.025118864315095822,0.5141912209238368,-0.00012965594058101727,True,0.21007512749071627,0.22184572208650186
