scenario_id,factor,age,remaining_median,n,random_seed
Xc_ci_lower,1.0,100,1.7999999999999972,300000,20265924
Xc_ci_upper,1.0,60,23.950000000000003,300000,20265924
Xc_ci_upper,1.0,65,19.474999999999994,300000,20265924
Xc_ci_upper,1.0,70,15.3125,300000,20265924
Xc_ci_upper,1.0,75,11.599999999999994,300000,20265924
Xc_ci_upper,1.0,80,8.450000000000003,300000,20265924
Xc_ci_upper,1.0,85,5.950000000000003,300000,20265924
Xc_ci_upper,1.0,90,4.025000000000006,300000,20265924
Xc_ci_upper,1.0,95,2.75,300000,20265924
Xc_ci_upper,1.0,100,1.9000000000000057,300000,20265924
xc_std_frac_ci_lower,1.0,60,23.775000000000006,300000,20265924
xc_std_frac_ci_lower,1.0,65,19.299999999999997,300000,20265924
xc_std_frac_ci_lower,1.0,70,15.150000000000006,300000,20265924
xc_std_frac_ci_lower,1.0,75,11.424999999999997,300000,20265924
xc_std_frac_ci_lower,1.0,80,8.325000000000003,300000,20265924
xc_std_frac_ci_lower,1.0,85,5.849999999999994,300000,20265924
xc_std_frac_ci_lower,1.0,90,3.9749999999999943,300000,20265924
xc_std_frac_ci_lower,1.0,95,2.700000000000003,300000,20265924
xc_std_frac_ci_lower,1.0,100,1.8250000000000028,300000,20265924
xc_std_frac_ci_upper,1.0,60,23.775000000000006,300000,20265924
xc_std_frac_ci_upper,1.0,65,19.325000000000003,300000,20265924
xc_std_frac_ci_upper,1.0,70,15.174999999999997,300000,20265924
xc_std_frac_ci_upper,1.0,75,11.474999999999994,300000,20265924
xc_std_frac_ci_upper,1.0,80,8.349999999999994,300000,20265924
xc_std_frac_ci_upper,1.0,85,5.924999999999997,300000,20265924
xc_std_frac_ci_upper,1.0,90,4.025000000000006,300000,20265924
xc_std_frac_ci_upper,1.0,95,2.7249999999999943,300000,20265924
xc_std_frac_ci_upper,1.0,100,1.8499999999999943,300000,20265924
central,1.05,60,25.299999999999997,300000,20266025
central,1.05,65,20.700000000000003,300000,20266025
central,1.05,70,16.375,300000,20266025
central,1.05,75,12.450000000000003,300000,20266025
central,1.05,80,9.075000000000003,300000,20266025
central,1.05,85,6.349999999999994,300000,20266025
central,1.05,90,4.325000000000003,300000,20266025
central,1.05,95,2.9000000000000057,300000,20266025
central,1.05,100,1.9249999999999972,300000,20266025
Xc_ci_lower,1.05,60,25.049999999999997,300000,20266025
Xc_ci_lower,1.05,65,20.5,300000,20266025
Xc_ci_lower,1.05,70,16.174999999999997,300000,20266025
Xc_ci_lower,1.05,75,12.299999999999997,300000,20266025
Xc_ci_lower,1.05,80,8.950000000000003,300000,20266025
Xc_ci_lower,1.05,85,6.275000000000006,300000,20266025
Xc_ci_lower,1.05,90,4.25,300000,20266025
Xc_ci_lower,1.05,95,2.8499999999999943,300000,20266025
Xc_ci_lower,1.05,100,1.9500000000000028,300000,20266025
Xc_ci_upper,1.05,60,25.525000000000006,300000,20266025
Xc_ci_upper,1.05,65,20.900000000000006,300000,20266025
Xc_ci_upper,1.05,70,16.575000000000003,300000,20266025
Xc_ci_upper,1.05,75,12.625,300000,20266025
Xc_ci_upper,1.05,80,9.200000000000003,300000,20266025
Xc_ci_upper,1.05,85,6.424999999999997,300000,20266025
Xc_ci_upper,1.05,90,4.400000000000006,300000,20266025
Xc_ci_upper,1.05,95,2.950000000000003,300000,20266025
Xc_ci_upper,1.05,100,1.9749999999999943,300000,20266025
xc_std_frac_ci_lower,1.05,60,25.299999999999997,300000,20266025
xc_std_frac_ci_lower,1.05,65,20.700000000000003,300000,20266025
xc_std_frac_ci_lower,1.05,70,16.375,300000,20266025
xc_std_frac_ci_lower,1.05,75,12.450000000000003,300000,20266025
xc_std_frac_ci_lower,1.05,80,9.075000000000003,300000,20266025
xc_std_frac_ci_lower,1.05,85,6.325000000000003,300000,20266025
xc_std_frac_ci_lower,1.05,90,4.325000000000003,300000,20266025
xc_std_frac_ci_lower,1.05,95,2.9000000000000057,300000,20266025
xc_std_frac_ci_lower,1.05,100,1.9500000000000028,300000,20266025
xc_std_frac_ci_upper,1.05,60,25.325000000000003,300000,20266025
xc_std_frac_ci_upper,1.05,65,20.75,300000,20266025
xc_std_frac_ci_upper,1.05,70,16.424999999999997,300000,20266025
xc_std_frac_ci_upper,1.05,75,12.5,300000,20266025
xc_std_frac_ci_upper,1.05,80,9.125,300000,20266025
xc_std_frac_ci_upper,1.05,85,6.400000000000006,300000,20266025
xc_std_frac_ci_upper,1.05,90,4.375,300000,20266025
xc_std_frac_ci_upper,1.05,95,2.950000000000003,300000,20266025
xc_std_frac_ci_upper,1.05,100,1.9749999999999943,300000,20266025
central,1.1,60,26.724999999999994,300000,20266126
central,1.1,65,22.025000000000006,300000,20266126
central,1.1,70,17.549999999999997,300000,20266126
central,1.1,75,13.450000000000003,300000,20266126
central,1.1,80,9.875,300000,20266126
central,1.1,85,6.924999999999997,300000,20266126
central,1.1,90,4.700000000000003,300000,20266126
central,1.1,95,3.1500000000000057,300000,20266126
central,1.1,100,2.049999999999997,300000,20266126
Xc_ci_lower,1.1,60,26.525000000000006,300000,20266126
Xc_ci_lower,1.1,65,21.825000000000003,300000,20266126
Xc_ci_lower,1.1,70,17.375,300000,20266126
Xc_ci_lower,1.1,75,13.299999999999997,300000,20266126
Xc_ci_lower,1.1,80,9.724999999999994,300000,20266126
Xc_ci_lower,1.1,85,6.825000000000003,300000,20266126
Xc_ci_lower,1.1,90,4.625,300000,20266126
Xc_ci_lower,1.1,95,3.075000000000003,300000,20266126
Xc_ci_lower,1.1,100,2.049999999999997,300000,20266126
Xc_ci_upper,1.1,60,26.924999999999997,300000,20266126
Xc_ci_upper,1.1,65,22.224999999999994,300000,20266126
Xc_ci_upper,1.1,70,17.75,300000,20266126
Xc_ci_upper,1.1,75,13.599999999999994,300000,20266126
Xc_ci_upper,1.1,80,10.0,300000,20266126
Xc_ci_upper,1.1,85,7.0,300000,20266126
Xc_ci_upper,1.1,90,4.75,300000,20266126
Xc_ci_upper,1.1,95,3.200000000000003,300000,20266126
Xc_ci_upper,1.1,100,2.0999999999999943,300000,20266126
xc_std_frac_ci_lower,1.1,60,26.724999999999994,300000,20266126
xc_std_frac_ci_lower,1.1,65,22.025000000000006,300000,20266126
xc_std_frac_ci_lower,1.1,70,17.575000000000003,300000,20266126
xc_std_frac_ci_lower,1.1,75,13.424999999999997,300000,20266126
xc_std_frac_ci_lower,1.1,80,9.799999999999997,300000,20266126
xc_std_frac_ci_lower,1.1,85,6.875,300000,20266126
xc_std_frac_ci_lower,1.1,90,4.650000000000006,300000,20266126
xc_std_frac_ci_lower,1.1,95,3.1500000000000057,300000,20266126
xc_std_frac_ci_lower,1.1,100,2.0999999999999943,300000,20266126
xc_std_frac_ci_upper,1.1,60,26.75,300000,20266126
xc_std_frac_ci_upper,1.1,65,22.049999999999997,300000,20266126
xc_std_frac_ci_upper,1.1,70,17.575000000000003,300000,20266126
xc_std_frac_ci_upper,1.1,75,13.474999999999994,300000,20266126
xc_std_frac_ci_upper,1.1,80,9.849999999999994,300000,20266126
xc_std_frac_ci_upper,1.1,85,6.924999999999997,300000,20266126
xc_std_frac_ci_upper,1.1,90,4.700000000000003,300000,20266126
xc_std_frac_ci_upper,1.1,95,3.1500000000000057,300000,20266126
xc_std_frac_ci_upper,1.1,100,2.125,300000,20266126
central,1.15,60,28.075000000000003,300000,20266227
central,1.15,65,23.325000000000003,300000,20266227
central,1.15,70,18.724999999999994,300000,20266227
central,1.15,75,14.450000000000003,300000,20266227
central,1.15,80,10.625,300000,20266227
central,1.15,85,7.450000000000003,300000,20266227
central,1.15,90,5.025000000000006,300000,20266227
central,1.15,95,3.299999999999997,300000,20266227
central,1.15,100,2.2249999999999943,300000,20266227
Xc_ci_lower,1.15,60,27.799999999999997,300000,20266227
Xc_ci_lower,1.15,65,23.075000000000003,300000,20266227
Xc_ci_lower,1.15,70,18.5,300000,20266227
Xc_ci_lower,1.15,75,14.25,300000,20266227
Xc_ci_lower,1.15,80,10.474999999999994,300000,20266227
Xc_ci_lower,1.15,85,7.349999999999994,300000,20266227
Xc_ci_lower,1.15,90,4.974999999999994,300000,20266227
Xc_ci_lower,1.15,95,3.2750000000000057,300000,20266227
Xc_ci_lower,1.15,100,2.174999999999997,300000,20266227
Xc_ci_upper,1.15,60,28.275000000000006,300000,20266227
Xc_ci_upper,1.15,65,23.5,300000,20266227
Xc_ci_upper,1.15,70,18.900000000000006,300000,20266227
Xc_ci_upper,1.15,75,14.599999999999994,300000,20266227
Xc_ci_upper,1.15,80,10.775000000000006,300000,20266227
Xc_ci_upper,1.15,85,7.549999999999997,300000,20266227
Xc_ci_upper,1.15,90,5.099999999999994,300000,20266227
Xc_ci_upper,1.15,95,3.375,300000,20266227
Xc_ci_upper,1.15,100,2.25,300000,20266227
xc_std_frac_ci_lower,1.15,60,28.049999999999997,300000,20266227
xc_std_frac_ci_lower,1.15,65,23.275000000000006,300000,20266227
xc_std_frac_ci_lower,1.15,70,18.700000000000003,300000,20266227
xc_std_frac_ci_lower,1.15,75,14.400000000000006,300000,20266227
xc_std_frac_ci_lower,1.15,80,10.599999999999994,300000,20266227
xc_std_frac_ci_lower,1.15,85,7.450000000000003,300000,20266227
xc_std_frac_ci_lower,1.15,90,5.049999999999997,300000,20266227
xc_std_frac_ci_lower,1.15,95,3.299999999999997,300000,20266227
xc_std_frac_ci_lower,1.15,100,2.174999999999997,300000,20266227
xc_std_frac_ci_upper,1.15,60,28.075000000000003,300000,20266227
xc_std_frac_ci_upper,1.15,65,23.299999999999997,300000,20266227
xc_std_frac_ci_upper,1.15,70,18.724999999999994,300000,20266227
xc_std_frac_ci_upper,1.15,75,14.474999999999994,300000,20266227
xc_std_frac_ci_upper,1.15,80,10.674999999999997,300000,20266227
xc_std_frac_ci_upper,1.15,85,7.5,300000,20266227
xc_std_frac_ci_upper,1.15,90,5.049999999999997,300000,20266227
xc_std_frac_ci_upper,1.15,95,3.3499999999999943,300000,20266227
xc_std_frac_ci_upper,1.15,100,2.200000000000003,300000,20266227
central,1.2,60,29.275000000000006,300000,20266328
central,1.2,65,24.474999999999994,300000,20266328
central,1.2,70,19.799999999999997,300000,20266328
central,1.2,75,15.375,300000,20266328
central,1.2,80,11.400000000000006,300000,20266328
central,1.2,85,8.025000000000006,300000,20266328
central,1.2,90,5.400000000000006,300000,20266328
central,1.2,95,3.549999999999997,300000,20266328
central,1.2,100,2.299999999999997,300000,20266328
Xc_ci_lower,1.2,60,29.075000000000003,300000,20266328
Xc_ci_lower,1.2,65,24.275000000000006,300000,20266328
Xc_ci_lower,1.2,70,19.599999999999994,300000,20266328
Xc_ci_lower,1.2,75,15.200000000000003,300000,20266328
Xc_ci_lower,1.2,80,11.25,300000,20266328
Xc_ci_lower,1.2,85,7.950000000000003,300000,20266328
Xc_ci_lower,1.2,90,5.375,300000,20266328
Xc_ci_lower,1.2,95,3.5,300000,20266328
Xc_ci_lower,1.2,100,2.325000000000003,300000,20266328
Xc_ci_upper,1.2,60,29.474999999999994,300000,20266328
Xc_ci_upper,1.2,65,24.650000000000006,300000,20266328
Xc_ci_upper,1.2,70,19.974999999999994,300000,20266328
Xc_ci_upper,1.2,75,15.525000000000006,300000,20266328
Xc_ci_upper,1.2,80,11.525000000000006,300000,20266328
Xc_ci_upper,1.2,85,8.150000000000006,300000,20266328
Xc_ci_upper,1.2,90,5.5,300000,20266328
Xc_ci_upper,1.2,95,3.575000000000003,300000,20266328
Xc_ci_upper,1.2,100,2.325000000000003,300000,20266328
xc_std_frac_ci_lower,1.2,60,29.275000000000006,300000,20266328
xc_std_frac_ci_lower,1.2,65,24.450000000000003,300000,20266328
xc_std_frac_ci_lower,1.2,70,19.75,300000,20266328
xc_std_frac_ci_lower,1.2,75,15.349999999999994,300000,20266328
xc_std_frac_ci_lower,1.2,80,11.349999999999994,300000,20266328
xc_std_frac_ci_lower,1.2,85,8.025000000000006,300000,20266328
xc_std_frac_ci_lower,1.2,90,5.424999999999997,300000,20266328
xc_std_frac_ci_lower,1.2,95,3.5250000000000057,300000,20266328
xc_std_frac_ci_lower,1.2,100,2.3499999999999943,300000,20266328
xc_std_frac_ci_upper,1.2,60,29.25,300000,20266328
xc_std_frac_ci_upper,1.2,65,24.450000000000003,300000,20266328
xc_std_frac_ci_upper,1.2,70,19.775000000000006,300000,20266328
xc_std_frac_ci_upper,1.2,75,15.375,300000,20266328
xc_std_frac_ci_upper,1.2,80,11.400000000000006,300000,20266328
xc_std_frac_ci_upper,1.2,85,8.049999999999997,300000,20266328
xc_std_frac_ci_upper,1.2,90,5.424999999999997,300000,20266328
xc_std_frac_ci_upper,1.2,95,3.575000000000003,300000,20266328
xc_std_frac_ci_upper,1.2,100,2.299999999999997,300000,20266328
